Day,Date,Islamic Date,Fajr Adhan,Fajr Iqamah,Shuruq,Zuhur Adhan,Zuhur Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
Sun, 1,   28 Safar,     5:06,      5:30,      6:33,    1:11,1:30,5:50,6:00,7:49,7:54,9:15,9:30
Mon, 2,   29 Safar,     5:07,      5:30,      6:34,    1:11,1:30,5:49,6:00,7:47,7:52,9:13,9:30
Tue, 3,   30 Safar,     5:09,      5:30,      6:35,    1:10,1:30,5:47,6:00,7:45,7:50,9:11,9:30
Wed, 4,   1 Rabi-Awal,  5:10,      5:30,      6:36,    1:10,1:30,5:46,6:00,7:43,7:48,9:09,9:30
Thu, 5,   2 Rabi-Awal,  5:12,      5:30,      6:37,    1:10,1:30,5:44,6:00,7:41,7:46,9:06,9:30
Fri, 6,   3 Rabi-Awal,  5:13,      5:45,      6:39,    1:09,1:30,5:43,6:00,7:39,7:44,9:04,9:15
Sat, 7,   4 Rabi-Awal,  5:15,      5:45,      6:40,    1:09,1:30,5:41,6:00,7:38,7:43,9:02,9:15
Sun, 8,   5 Rabi-Awal,  5:16,      5:45,      6:41,    1:09,1:30,5:40,6:00,7:36,7:41,9:00,9:15
Mon, 9,   6 Rabi-Awal,  5:18,      5:45,      6:42,    1:08,1:30,5:38,6:00,7:34,7:39,8:58,9:15
Tue, 10,  7 Rabi-Awal,  5:19,      5:45,      6:44,    1:08,1:30,5:37,6:00,7:32,7:37,8:56,9:15
Wed, 11,  8 Rabi-Awal,  5:21,      5:45,      6:45,    1:08,1:30,5:35,6:00,7:30,7:35,8:54,9:15
Thu, 12,  9 Rabi-Awal,  5:22,      5:45,      6:46,    1:07,1:30,5:33,6:00,7:28,7:33,8:51,9:15
Fri, 13, 10 Rabi-Awal,  5:24,      5:45,      6:47,    1:07,1:30,5:32,5:45,7:26,7:31,8:49,9:00
Sat, 14, 11 Rabi-Awal,  5:25,      5:45,      6:48,    1:07,1:30,5:30,5:45,7:24,7:29,8:47,9:00
Sun, 15, 12 Rabi-Awal,  5:26,      5:45,      6:50,    1:06,1:30,5:29,5:45,7:22,7:27,8:45,9:00
Mon, 16, 13 Rabi-Awal,  5:28,      5:45,      6:51,    1:06,1:30,5:27,5:45,7:20,7:25,8:43,9:00
Tue, 17, 14 Rabi-Awal,  5:29,      6:00,      6:52,    1:06,1:30,5:25,5:45,7:18,7:23,8:41,9:00
Wed, 18, 15 Rabi-Awal,  5:31,      6:00,      6:53,    1:05,1:30,5:24,5:45,7:16,7:21,8:39,9:00
Thu, 19, 16 Rabi-Awal,  5:32,      6:00,      6:55,    1:05,1:30,5:22,5:45,7:14,7:19,8:37,9:00
Fri, 20, 17 Rabi-Awal,  5:33,      6:00,      6:56,    1:05,1:30,5:21,5:30,7:13,7:18,8:35,8:45
Sat, 21, 18 Rabi-Awal,  5:35,      6:00,      6:57,    1:04,1:30,5:19,5:30,7:11,7:16,8:33,8:45
Sun, 22, 19 Rabi-Awal,  5:36,      6:00,      6:58,    1:04,1:30,5:17,5:30,7:09,7:14,8:30,8:45
Mon, 23, 20 Rabi-Awal,  5:37,      6:00,      6:59,    1:03,1:30,5:16,5:30,7:07,7:12,8:28,8:45
Tue, 24, 21 Rabi-Awal,  5:39,      6:00,      7:01,    1:03,1:30,5:14,5:30,7:05,7:10,8:26,8:45
Wed, 25, 22 Rabi-Awal,  5:40,      6:00,      7:02,    1:03,1:30,5:12,5:30,7:03,7:08,8:24,8:45
Thu, 26, 23 Rabi-Awal,  5:42,      6:00,      7:03,    1:02,1:30,5:11,5:30,7:01,7:06,8:22,8:45
Fri, 27, 24 Rabi-Awal,  5:43,      6:15,      7:04,    1:02,1:30,5:09,5:15,6:59,7:04,8:20,8:30
Sat, 28, 25 Rabi-Awal,  5:44,      6:15,      7:06,    1:02,1:30,5:07,5:15,6:57,7:02,8:18,8:30
Sun, 29, 26 Rabi-Awal,  5:45,      6:15,      7:07,    1:01,1:30,5:06,5:15,6:55,7:00,8:16,8:30
Mon, 30, 27 Rabi-Awal,  5:47,      6:15,      7:08,    1:01,1:30,5:04,5:15,6:53,6:58,8:14,8:30
